상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
12067725,미스터닭강정,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,28,인천광역시,28237,부평구,2823751000,부평1동,2823710100,부평동,2823710100100650115,1,대지,65,115,인천광역시 부평구 부평동 65-115,282374262421,인천광역시 부평구 부흥로243번길,7,,2823710100100650115000448,대우아파트,인천광역시 부평구 부흥로243번길 7,403734,21378,,2,,126.717870237456,37.4997967939988
12068158,장모님양념통닭,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,48,경상남도,48121,창원시 의창구,4812154000,봉림동,4812112700,봉곡동,4812112700100320008,1,대지,32,8,경상남도 창원시 의창구 봉곡동 32-8,481214781466,경상남도 창원시 의창구 원이대로261번길,16,25,4812112700100320008004322,,경상남도 창원시 의창구 원이대로261번길 16-25,641821,51176,,1,,128.651367170163,35.2442718631344
12068503,투존치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42820,고성군,4282025300,거진읍,4282025321,거진읍,4282025321102870106,1,대지,287,106,강원도 고성군 거진읍 거진리 287-106,428203234003,강원도 고성군 거진읍 거탄진로,142,1,4282025321102870106018463,야식전문민정,강원도 고성군 거진읍 거탄진로 142-1,219901,24713,,1,,128.456172926624,38.4471935389481
12069247,푸라닭,단구관설점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42130,원주시,4213055000,단구동,4213010700,단구동,4213010700106260006,1,대지,626,6,강원도 원주시 단구동 626-6,421303219054,강원도 원주시 치악로,1637,1,4213010700106260006005380,,강원도 원주시 치악로 1637-1,220942,26450,,1,,127.959384726314,37.3290145918279
12069284,큰집닭강정,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11260,중랑구,1126063000,묵2동,1126010400,묵동,1126010400102390119,1,대지,239,119,서울특별시 중랑구 묵동 239-119,112603106010,서울특별시 중랑구 중랑역로,184,,1126010400102390119032230,부흥약국,서울특별시 중랑구 중랑역로 184,131140,02006,,1,,127.076321601469,37.6098819567573
12069556,땅땅치킨동호점,동호점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,27,대구광역시,27140,동구,2714074700,안심4동,2714011600,동호동,2714011600101060025,1,대지,106,25,대구광역시 동구 동호동 106-25,271403000052,대구광역시 동구 경안로,751,,2714011600101060025031979,,대구광역시 동구 경안로 751,701848,41112,,1,,128.713471223062,35.8692504661211
12070015,페리카나,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,48,경상남도,48127,창원시 마산회원구,4812752000,회원2동,4812710800,회원동,4812710800106670034,1,대지,667,34,경상남도 창원시 마산회원구 회원동 667-34,481273330029,경상남도 창원시 마산회원구 회원남로,39,1,4812710800106670034008652,,경상남도 창원시 마산회원구 회원남로 39-1,630040,51291,,1,,128.565692117213,35.2185975341351
12070100,네네치킨양덕점,양덕점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,47,경상북도,47113,포항시 북구,4711370000,장량동,4711312200,양덕동,4711312200118880000,1,대지,1888,,경상북도 포항시 북구 양덕동 1888,471134712443,경상북도 포항시 북구 양덕로44번길,32,,4711312200118880000000001,,경상북도 포항시 북구 양덕로44번길 32,791270,37592,,1,,129.405484508028,36.0824725823014
12070575,꼬레랑치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,28,인천광역시,28260,서구,2826056000,석남2동,2826011000,석남동,2826011000105830000,1,대지,583,,인천광역시 서구 석남동 583,282603156010,인천광역시 서구 거북로,86,,2826011000105830000017244,,인천광역시 서구 거북로 86,404220,22795,,1,,126.671207724437,37.5030293466165
12070581,선단용치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41650,포천시,4165052000,선단동,4165010400,선단동,4165010400106420001,1,대지,642,1,경기도 포천시 선단동 642-1,416503012028,경기도 포천시 삼육사로,2168,,4165010400106420001022850,,경기도 포천시 삼육사로 2168,487020,11161,,1,,127.158615376901,37.8557753054808
